Krankenhaus,Anzahl_Standorte,Betten_gesamt,Orte,Kreise,Telefon,E_Mail,Website,Traeger,Quelle
ASKLEPIOS Harzklinik Bad Harzburg,1,71.0,Bad Harzburg,Goslar,05322 76-0,badharzburg@asklepios.com,www.asklepios.com,Asklepios Harzkliniken GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
ASKLEPIOS Harzklinik Goslar,1,299.0,Goslar,Goslar,05321 44-0,goslar@asklepios.com,www.asklepios.com,Asklepios Harzkliniken GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
ASKLEPIOS Kliniken Schildautal Seesen,1,269.0,Seesen,Goslar,05381 74-0,seesen@asklepios.com,www.asklepios.com,Asklepios Klinik Sobernheim GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
AWO Psychiatriezentrum,7,618.0,"Braunschweig, Gifhorn, Helmstedt, Königslutter am Elm, Peine, Wolfenbüttel, Wolfsburg",Helmstedt,05353 90-0,poststelle@awo-apz.de,www.awo-psychiatriezentrum.de,AWO Niedersachsen gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Albert-Schweitzer-Therapeutikum,1,24.0,Holzminden,Holzminden,05531 9311-0,therapeutikum@familienwerk.de,www.familienwerk.de,Albert-Schweitzer-Familienwerk,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Aller-Weser-Klinik Krankenhaus Achim,1,124.0,Achim bei Bremen,Verden,04202 998-0,info@aller-weser-klinik.de,www.aller-weser-klinik.de,Aller-Weser-Klinik gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Aller-Weser-Klinik Krankenhaus Verden,1,130.0,Verden (Aller),Verden,04231 103-0,info@aller-weser-klinik.de,www.aller-weser-klinik.de,Aller-Weser-Klinik gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Allgemeines Krankenhaus Celle,1,452.0,Celle,Celle,05141 72-0,info@akh-celle.de,www.akh-celle.de,Stiftung Allgemeines Krankenhaus Celle,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Ammerland Klinik GmbH,1,444.0,Westerstede,Ammerland,04488 50-0,info@ammerland-klinik.de,www.ammerland-klinik.de,Ammerland Klinik GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Augenklinik Dr. Georg,1,25.0,Bad Rothenfelde,Osnabrück,05424 644-0,info@augenklinik-bad-rothenfelde.de,www.augenklinik-bad-rothenfelde.de,Augenklinik Dr. Georg GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Augenklinik Dr. Hoffmann,1,19.0,Braunschweig,"Braunschweig, Stadt",0531 273380,verwaltung@augenklinik-dr-hoffmann.de,www.augenklinik-dr-hoffmann.de,"Dres Genée, Weigmann",https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Augenklinik Stadthagen GmbH,1,8.0,Stadthagen,Schaumburg,05721 7808-0,info@augenklinik.org,www.augenklinik-stadthagen.de,Augenklinik Stadthagen GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
BDH-Klinik Hessisch Oldendorf,1,140.0,Hessisch Oldendorf,Hameln-Pyrmont,05152 781-0,verwaltung@bdh-klinik-hessisch-oldendorf.de,www.bdh-klinik-hessisch-oldendorf.de,BDH - Bundesverband für Rehabilitation und Interessenvertretung Behinderter e.V.,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Borromäus Hospital Leer gGmbH,1,306.0,Leer,Leer,0491 85-0,info@borro-Leer.de,www.borro-leer.de,Borromäus Hospital Leer gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Bundeswehrkrankenhaus,1,91.0,Westerstede,Ammerland,04488 50-0,BwKrhsWesterstede@bundeswehr.org,www.bundeswehrkrankenhaus-westerstede.de,"Bundesministeriumder Verteidigung, FüSK II 6",https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Burghof-Klinik GmbH,4,226.0,"Aerzen, Rinteln, Stadthagen",Schaumburg,05751 940-0,information@burghof-klinik.de,www.burghof-klinik.de,Burghof-Klinik GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Capio Elbe-Jeetzel-Klinik Dannenberg,1,114.0,Dannenberg,Lüchow-Dannenberg,05861 83-0,info@eljek.de,www.elbe-jeetzel-klinik.de,Capio Deutsche Klinik Dannenberg GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Christliches Kinderhospital Osnabrück,2,131.0,Osnabrück,"Osnabrück, Stadt",0541 7000-6000,info@ckos.de,www.christliches-kinderhospital.de,Christliches Kinderhospital Osnabrück GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Christliches Krankenhaus Quakenbrück,1,445.0,Quakenbrück,Osnabrück,05431 15-0,info@ckq-gmbh.de,www.ckq-gmbh.de,Christliches Krankenhaus Quakenbrück gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Clemens-August-Klinik,1,199.0,Neuenkirchen-Vörden,Vechta,05493 504-0,info@clemensaugust.de,www.clemensaugust.de,Clemens-August-Stift,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
DIAKOVERE Annastift,1,181.0,Hannover,Region Hannover,0511 5354-0,,www.diakovere.de,DIAKOVERE Krankenhaus gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
DIAKOVERE Friederikenstift,1,403.0,Hannover,Region Hannover,0511 129-0,,www.diakovere.de,DIAKOVERE Krankenhaus gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
DIAKOVERE Henriettenstift,2,465.0,Hannover,Region Hannover,0511 289-0,,www.diakovere.de,DIAKOVERE Krankenhaus gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
DRK-Krankenhaus Clementinenhaus,1,202.0,Hannover,Region Hannover,0511 3394-0,info@clementinenhaus.de,www.clementinenhaus.de,DRK-Krankenhaus Clementinenhaus Stiftung bürgerlichen Rechts,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Deister-Süntel-Klinik GmbH,1,58.0,Bad Münder am Deister,Hameln-Pyrmont,05042 602-0,,www.dsk-bm.de,Deister-Süntel-Klinik GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Delme Klinikum Delmenhorst,1,286.0,Delmenhorst,"Delmenhorst, Stadt",04221 99-3,info@delme-klinikum.de,www.delme-klinikum.de,Delme Klinikum Delmenhorst GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Diabeteszentrum Bad Lauterberg Fachklinik für Diabetes und Stoffwechselkrankheiten,1,62.0,Bad Lauterberg im Harz,Göttingen,05524 81-1,klinik@diabeteszentrum.de,www.diabeteszentrum.de,Gemeinnützige Stiftung für Diabetes-Therapie Bad Lauterberg,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Diana Kliniken,1,25.0,Bad Bevensen,Uelzen,05821 80-0,diana@diana-klinik.de,www.diana-klinik.de,Diana Krankenhaus-betriebsgesellschaft mbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Eilenriede Klinik Hannover,1,42.0,Hannover,Region Hannover,0511 99044-0,,www.eilenriedeklinik.de,Venenzentrum Braunschweig GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Einbecker Bürgerspital GmbH,1,103.0,Einbeck,Northeim,05561 940-0,info@einbecker-buergerspital.de,www.einbecker-buergerspital.de,Einbecker BürgerspitalGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Elbe Klinikum Buxtehude,1,303.0,Buxtehude,Stade,04161 703-0,info@elbekliniken.de,www.elbekliniken.de,Elbe Klinikum Stade-Buxtehude GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Elbe Klinikum Stade,1,576.0,"Stade, Niederelbe",Stade,04141 97-0,info@elbekliniken.de,www.elbekliniken.de,Elbe Klinikum Stade-Buxtehude GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Euregio Klinik Albert-Schweitzer-Straße GmbH,1,387.0,Nordhorn,Grafschaft Bentheim,05921 84-0,info@euregio-klinik.de,www.euregio-klinik.de,Euregio Klinik Grafschaft Bentheim Holding GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Euregio Klinik Hannoverstraße GmbH,1,77.0,Nordhorn,Grafschaft Bentheim,05921 171-0,info@hs.euregio-klinik.de,www.euregio-klinik.de,Euregio Klinik Grafschaft Bentheim Holding GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Ev. Krankenhaus Göttingen Weende gGmbH Standort Neu-Mariahilf,1,103.0,Göttingen,Göttingen,0551 4963-0,info@ekweende.de,www.ekweende.de,Evangelisches Krankenhaus Göttingen-Weende gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Ev.-luth. Diakonissenanstalt Marienstift,1,163.0,Braunschweig,"Braunschweig, Stadt",0531 7011-0,marienstift@marienstift-braunschweig.de,www.marienstift-braunschweig.de,Ev.-luth. Diakonissenanstalt Marienstift,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Evangelisches Krankenhaus Göttingen-Weende gGmbH,1,452.0,Göttingen,Göttingen,0551 5034-0,kontakt@ekweende.de,www.ekweende.de,Evangelisches Krankenhaus Göttingen-Weende gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Evangelisches Krankenhaus Oldenburg,1,448.0,Oldenburg (Oldb.),"Oldenburg (Oldenburg), Stadt",0441 236-0,info@evangelischeskrankenhaus.de,www.evangelischeskrankenhaus.de,Evangelische Krankenhausstiftung Oldenburg,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
FACHKLINIK BAD BENTHEIM Thermalsole- und Schwefelbad Bentheim GmbH,1,68.0,Bad Bentheim,Grafschaft Bentheim,05922 74-0,info@fk-bentheim.de,www.fk-bentheim.de,Thermalsole- und Schwefelbad Bentheim GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Fachklinik für Orthopädie und Rheumatologie Dr. Muschinsky,1,32.0,Bad Lauterberg,Göttingen,05524 858-0,info@muschinsky.de,www.muschinsky.de,Fachklinik für Orthopädie und Rheumatologie Dr. Muschinsky GmbH & Co. KG,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Falkenried Caduceus Klinik GmbH,1,33.0,Bad Bevensen,Uelzen,05821 9775-0,klinik@caduceus.de,www.caduceus-klinik.de,Falkenried Caduceus Klinik GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Heidekreis Klinikum GmbH Krankenhaus Soltau,1,123.0,Soltau,Heidekreis,05191 602-0,info@heidekreis-klinikum.de,www.heidekreis-klinikum.de,Heidekreis Klinikum gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Heidekreis Klinikum GmbH Krankenhaus Walsrode,1,201.0,Walsrode,Heidekreis,05161 602-0,info@heidekreis-klinikum.de,www.heidekreis-klinikum.de,Heidekreis Klinikum gGmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Albert-Schweitzer-Klinik Northeim,1,224.0,Northeim,Northeim,05551 97-0,information.northeim@helios-gesundheit.de,www.helios-gesundheit.de,Helios Albert-Schweitzer-Klinik Northeim GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinik Cuxhaven GmbH,1,242.0,Cuxhaven,Cuxhaven,04721 78-0,info.cuxhaven@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinik Cuxhaven GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinik Wesermarsch Nordenham GmbH,1,89.0,Nordenham,Wesermarsch,04731 947-0,info.nordenham@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinik Wesermarsch Nordenham GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinik Wittingen GmbH,1,55.0,Wittingen,Gifhorn,05831 22-0,info.wittingen@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinik Wittingen GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Kliniken Herzberg und Osterode GmbH,1,248.0,Herzberg am Harz,Göttingen,05521 866-0,info.herzberg@helios-gesundheit.de,www.helios-gesundheit.de,Helios Kliniken Herzberg und Osterode GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Kliniken Mittelweser GmbH Klinik Nienburg,1,292.0,Nienburg,Nienburg (Weser),05021 9210-0,info.mittelweser@helios-gesundheit.de,www.helios-gesundheit.de,Helios Kliniken Mittelweser GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Kliniken Mittelweser GmbH Klinik Stolzenau,1,63.0,Stolzenau,Nienburg (Weser),05761 9007-0,info.mittelweser@helios-gesundheit.de,www.helios-gesundheit.de,Helios Kliniken Mittelweser GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinikum Gifhorn GmbH,1,372.0,Gifhorn,Gifhorn,05371 87-0,sekretariat.gf@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinikum Gifhorn Gmbh,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinikum Hildesheim GmbH,1,578.0,Hildesheim,Hildesheim,05121 89-0,gf.hildesheim@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinikum Hildesheim GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinikum Salzgitter GmbH,1,279.0,Salzgitter,"Salzgitter, Stadt",05341 835-0,info.salzgitter@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinikum Salzgitter GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios Klinikum Uelzen GmbH,1,303.0,"Uelzen, Lüneburger Heide",Uelzen,0581 83-0,info.uelzen@helios-gesundheit.de,www.helios-gesundheit.de,Helios Klinikum Uelzen GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
Helios St. Marienberg Klinik Helmstedt,1,300.0,Helmstedt,Helmstedt,05351 14-0,info.helmstedt@helios-gesundheit.de,www.helios-gesundheit.de/helmstedt,Helios St. Marienberg Klinik Helmstedt GmbH,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhauser/Publikationen/Downloads-Krankenhaeuser/krankenhausverzeichnis-3500100237005.xlsx?__blob=publicationFile&v=2
